date,pnl,total_profit,n,equity_12M,year
2019-01-02,0.0,0.0,0,12000000.0,2019
2019-01-03,0.0,0.0,0,12000000.0,2019
2019-01-04,0.0,0.0,0,12000000.0,2019
2019-01-07,0.0,0.0,0,12000000.0,2019
2019-01-08,0.0,0.0,0,12000000.0,2019
2019-01-09,0.0,0.0,0,12000000.0,2019
2019-01-10,0.0,0.0,0,12000000.0,2019
2019-01-11,0.0,0.0,0,12000000.0,2019
2019-01-14,0.0,0.0,0,12000000.0,2019
2019-01-15,0.0,0.0,0,12000000.0,2019
2019-01-16,0.0,0.0,0,12000000.0,2019
2019-01-17,0.0,0.0,0,12000000.0,2019
2019-01-18,0.0,0.0,0,12000000.0,2019
2019-01-21,0.0,0.0,0,12000000.0,2019
2019-01-22,0.0,0.0,0,12000000.0,2019
2019-01-23,0.0,0.0,0,12000000.0,2019
2019-01-24,0.0,0.0,0,12000000.0,2019
2019-01-25,0.0,0.0,0,12000000.0,2019
2019-01-28,0.0,0.0,0,12000000.0,2019
2019-01-29,0.0,0.0,0,12000000.0,2019
2019-01-30,0.0,0.0,0,12000000.0,2019
2019-02-11,0.0,0.0,0,12000000.0,2019
2019-02-12,0.0,0.0,0,12000000.0,2019
2019-02-13,0.0,0.0,0,12000000.0,2019
2019-02-14,0.0,0.0,0,12000000.0,2019
2019-02-15,0.0,0.0,0,12000000.0,2019
2019-02-18,0.0,0.0,0,12000000.0,2019
2019-02-19,0.0,0.0,0,12000000.0,2019
2019-02-20,0.0,0.0,0,12000000.0,2019
2019-02-21,0.0,0.0,0,12000000.0,2019
2019-02-22,0.0,0.0,0,12000000.0,2019
2019-02-25,0.0,0.0,0,12000000.0,2019
2019-02-26,0.0,0.0,0,12000000.0,2019
2019-02-27,0.0,0.0,0,12000000.0,2019
2019-03-04,0.0,0.0,0,12000000.0,2019
2019-03-05,0.0,0.0,0,12000000.0,2019
2019-03-06,0.0,0.0,0,12000000.0,2019
2019-03-07,0.0,0.0,0,12000000.0,2019
2019-03-08,0.0,0.0,0,12000000.0,2019
2019-03-11,0.0,0.0,0,12000000.0,2019
2019-03-12,0.0,0.0,0,12000000.0,2019
2019-03-13,0.0,0.0,0,12000000.0,2019
2019-03-14,0.0,0.0,0,12000000.0,2019
2019-03-15,0.0,0.0,0,12000000.0,2019
2019-03-18,0.0,0.0,0,12000000.0,2019
2019-03-19,0.0,0.0,0,12000000.0,2019
2019-03-20,0.0,0.0,0,12000000.0,2019
2019-03-21,0.0,0.0,0,12000000.0,2019
2019-03-22,0.0,0.0,0,12000000.0,2019
2019-03-25,0.0,0.0,0,12000000.0,2019
2019-03-26,0.0,0.0,0,12000000.0,2019
2019-03-27,0.0,0.0,0,12000000.0,2019
2019-03-28,0.0,0.0,0,12000000.0,2019
2019-03-29,0.0,0.0,0,12000000.0,2019
2019-04-01,0.0,0.0,0,12000000.0,2019
2019-04-02,0.0,0.0,0,12000000.0,2019
2019-04-03,0.0,0.0,0,12000000.0,2019
2019-04-08,0.0,0.0,0,12000000.0,2019
2019-04-09,0.0,0.0,0,12000000.0,2019
2019-04-10,0.0,0.0,0,12000000.0,2019
2019-04-11,0.0,0.0,0,12000000.0,2019
2019-04-12,0.0,0.0,0,12000000.0,2019
2019-04-15,0.0,0.0,0,12000000.0,2019
2019-04-16,0.0,0.0,0,12000000.0,2019
2019-04-17,0.0,0.0,0,12000000.0,2019
2019-04-18,0.0,0.0,0,12000000.0,2019
2019-04-19,0.0,0.0,0,12000000.0,2019
2019-04-22,0.0,0.0,0,12000000.0,2019
2019-04-23,0.0,0.0,0,12000000.0,2019
2019-04-24,0.0,0.0,0,12000000.0,2019
2019-04-25,0.0,0.0,0,12000000.0,2019
2019-04-26,0.0,0.0,0,12000000.0,2019
2019-04-29,0.0,0.0,0,12000000.0,2019
2019-04-30,0.0,0.0,0,12000000.0,2019
2019-05-02,0.0,0.0,0,12000000.0,2019
2019-05-03,0.0,0.0,0,12000000.0,2019
2019-05-06,0.0,0.0,0,12000000.0,2019
2019-05-07,0.0,0.0,0,12000000.0,2019
2019-05-08,0.0,0.0,0,12000000.0,2019
2019-05-09,0.0,0.0,0,12000000.0,2019
2019-05-10,0.0,0.0,0,12000000.0,2019
2019-05-13,0.0,0.0,0,12000000.0,2019
2019-05-14,0.0,0.0,0,12000000.0,2019
2019-05-15,0.0,0.0,0,12000000.0,2019
2019-05-16,0.0,0.0,0,12000000.0,2019
2019-05-17,0.0,0.0,0,12000000.0,2019
2019-05-20,0.0,0.0,0,12000000.0,2019
